tag,layer,expert,count
prime_check,0,0,299
prime_check,0,1,409
prime_check,0,2,18
prime_check,0,3,8
prime_check,0,4,62
prime_check,0,5,54
prime_check,0,6,151
prime_check,0,7,45
prime_check,0,8,34
prime_check,0,11,1
prime_check,0,12,1
prime_check,0,13,156
prime_check,0,14,9
prime_check,0,15,89
prime_check,0,16,221
prime_check,0,17,40
prime_check,0,18,22
prime_check,0,19,10
prime_check,0,20,24
prime_check,0,21,1275
prime_check,0,22,119
prime_check,0,23,363
prime_check,0,24,224
prime_check,0,25,47
prime_check,0,26,397
prime_check,0,27,4
prime_check,0,28,78
prime_check,0,29,5
prime_check,0,31,76
prime_check,0,32,987
prime_check,0,33,1758
prime_check,0,34,1
prime_check,0,35,1
prime_check,0,38,55
prime_check,0,39,1259
prime_check,0,41,1689
prime_check,0,43,24
prime_check,0,44,15
prime_check,0,45,26
prime_check,0,46,126
prime_check,0,47,3820
prime_check,0,48,90
prime_check,0,49,89
prime_check,0,50,1879
prime_check,0,51,880
prime_check,0,52,6
prime_check,0,53,2777
prime_check,0,54,153
prime_check,0,55,872
prime_check,0,58,123
prime_check,0,59,63
prime_check,0,60,330
prime_check,0,63,35
prime_check,0,64,28
prime_check,0,67,82
prime_check,0,68,288
prime_check,0,69,874
prime_check,0,72,6
prime_check,0,73,243
prime_check,0,74,185
prime_check,0,76,173
prime_check,0,77,56
prime_check,0,78,50
prime_check,0,79,130
prime_check,0,81,74
prime_check,0,83,119
prime_check,0,84,330
prime_check,0,85,18
prime_check,0,87,34
prime_check,0,89,1198
prime_check,0,90,741
prime_check,0,91,460
prime_check,0,92,220
prime_check,0,94,36
prime_check,0,97,2
prime_check,0,99,107
prime_check,0,100,22
prime_check,0,102,399
prime_check,0,103,4468
prime_check,0,104,155
prime_check,0,105,433
prime_check,0,106,15
prime_check,0,107,137
prime_check,0,108,408
prime_check,0,109,56
prime_check,0,110,3
prime_check,0,111,74
prime_check,0,112,169
prime_check,0,113,39
prime_check,0,114,4458
prime_check,0,116,99
prime_check,0,117,62
prime_check,0,118,2
prime_check,0,120,78
prime_check,0,121,90
prime_check,0,122,9
prime_check,0,123,833
prime_check,0,124,1091
prime_check,0,125,85
prime_check,0,126,42
prime_check,0,127,196
prime_check,1,0,1342
prime_check,1,1,26
prime_check,1,2,41
prime_check,1,3,3
prime_check,1,4,35
prime_check,1,5,87
prime_check,1,6,171
prime_check,1,7,35
prime_check,1,8,153
prime_check,1,9,1565
prime_check,1,10,78
prime_check,1,11,3962
prime_check,1,12,3701
prime_check,1,13,615
prime_check,1,14,57
prime_check,1,15,7
prime_check,1,16,28
prime_check,1,18,65
prime_check,1,20,348
prime_check,1,21,61
prime_check,1,22,117
prime_check,1,23,107
prime_check,1,24,36
prime_check,1,25,104
prime_check,1,26,51
prime_check,1,27,31
prime_check,1,28,175
prime_check,1,29,128
prime_check,1,30,1352
prime_check,1,31,210
prime_check,1,32,54
prime_check,1,33,16
prime_check,1,34,28
prime_check,1,35,2752
prime_check,1,36,7
prime_check,1,37,61
prime_check,1,38,8
prime_check,1,39,285
prime_check,1,40,4
prime_check,1,41,54
prime_check,1,42,111
prime_check,1,44,31
prime_check,1,45,27
prime_check,1,46,144
prime_check,1,47,63
prime_check,1,48,23
prime_check,1,49,22
prime_check,1,50,11
prime_check,1,51,305
prime_check,1,52,253
prime_check,1,53,37
prime_check,1,54,153
prime_check,1,55,60
prime_check,1,56,3842
prime_check,1,57,109
prime_check,1,59,24
prime_check,1,60,24
prime_check,1,61,43
prime_check,1,62,40
prime_check,1,64,1926
prime_check,1,65,296
prime_check,1,66,733
prime_check,1,67,10
prime_check,1,68,174
prime_check,1,69,29
prime_check,1,70,60
prime_check,1,71,33
prime_check,1,72,20
prime_check,1,73,106
prime_check,1,74,30
prime_check,1,76,129
prime_check,1,77,5
prime_check,1,78,24
prime_check,1,79,384
prime_check,1,80,4
prime_check,1,81,91
prime_check,1,82,35
prime_check,1,83,153
prime_check,1,84,1
prime_check,1,85,72
prime_check,1,86,46
prime_check,1,87,42
prime_check,1,88,449
prime_check,1,89,52
prime_check,1,90,218
prime_check,1,91,18
prime_check,1,92,41
prime_check,1,93,61
prime_check,1,94,15
prime_check,1,96,183
prime_check,1,97,77
prime_check,1,98,74
prime_check,1,99,19
prime_check,1,100,3692
prime_check,1,101,70
prime_check,1,102,322
prime_check,1,103,94
prime_check,1,104,417
prime_check,1,105,31
prime_check,1,106,475
prime_check,1,107,75
prime_check,1,108,8
prime_check,1,109,35
prime_check,1,110,187
prime_check,1,111,4
prime_check,1,112,223
prime_check,1,113,40
prime_check,1,114,52
prime_check,1,115,57
prime_check,1,116,38
prime_check,1,117,80
prime_check,1,118,251
prime_check,1,119,80
prime_check,1,120,3863
prime_check,1,121,4
prime_check,1,122,326
prime_check,1,123,225
prime_check,1,124,412
prime_check,1,125,188
prime_check,1,127,35
prime_check,2,0,47
prime_check,2,1,18
prime_check,2,3,156
prime_check,2,4,6
prime_check,2,5,86
prime_check,2,6,449
prime_check,2,7,292
prime_check,2,8,109
prime_check,2,9,152
prime_check,2,10,162
prime_check,2,11,42
prime_check,2,13,256
prime_check,2,14,254
prime_check,2,15,2003
prime_check,2,16,105
prime_check,2,17,85
prime_check,2,18,481
prime_check,2,19,49
prime_check,2,20,217
prime_check,2,21,18
prime_check,2,23,15
prime_check,2,24,396
prime_check,2,25,516
prime_check,2,26,77
prime_check,2,27,112
prime_check,2,28,349
prime_check,2,29,1969
prime_check,2,31,5
prime_check,2,33,185
prime_check,2,35,52
prime_check,2,36,7
prime_check,2,37,635
prime_check,2,39,95
prime_check,2,40,58
prime_check,2,41,532
prime_check,2,42,19
prime_check,2,43,311
prime_check,2,44,45
prime_check,2,45,81
prime_check,2,46,287
prime_check,2,47,3
prime_check,2,48,370
prime_check,2,49,977
prime_check,2,50,50
prime_check,2,51,35
prime_check,2,52,331
prime_check,2,53,57
prime_check,2,54,16
prime_check,2,55,2648
prime_check,2,56,212
prime_check,2,57,151
prime_check,2,58,38
prime_check,2,59,234
prime_check,2,60,163
prime_check,2,61,994
prime_check,2,62,1595
prime_check,2,63,18
prime_check,2,64,394
prime_check,2,65,1
prime_check,2,66,11
prime_check,2,67,2
prime_check,2,68,228
prime_check,2,69,453
prime_check,2,70,256
prime_check,2,71,457
prime_check,2,72,6
prime_check,2,73,6
prime_check,2,74,20
prime_check,2,75,197
prime_check,2,76,2850
prime_check,2,77,725
prime_check,2,78,130
prime_check,2,79,55
prime_check,2,81,1041
prime_check,2,82,715
prime_check,2,83,118
prime_check,2,84,219
prime_check,2,85,685
prime_check,2,86,381
prime_check,2,87,30
prime_check,2,88,213
prime_check,2,89,1
prime_check,2,90,52
prime_check,2,91,173
prime_check,2,92,5
prime_check,2,93,2
prime_check,2,95,11
prime_check,2,96,76
prime_check,2,97,1283
prime_check,2,98,268
prime_check,2,99,133
prime_check,2,100,506
prime_check,2,101,18
prime_check,2,102,2365
prime_check,2,103,172
prime_check,2,104,45
prime_check,2,105,18
prime_check,2,106,6
prime_check,2,107,354
prime_check,2,108,319
prime_check,2,109,676
prime_check,2,110,1683
prime_check,2,111,60
prime_check,2,112,17
prime_check,2,114,77
prime_check,2,115,107
prime_check,2,116,928
prime_check,2,117,85
prime_check,2,118,90
prime_check,2,119,292
prime_check,2,120,1089
prime_check,2,121,408
prime_check,2,122,261
prime_check,2,123,75
prime_check,2,125,218
prime_check,2,126,303
prime_check,2,127,182
prime_check,3,0,334
prime_check,3,1,709
prime_check,3,2,116
prime_check,3,3,20
prime_check,3,4,903
prime_check,3,5,49
prime_check,3,6,308
prime_check,3,8,228
prime_check,3,9,56
prime_check,3,10,199
prime_check,3,11,127
prime_check,3,12,157
prime_check,3,13,1746
prime_check,3,14,1188
prime_check,3,15,857
prime_check,3,16,304
prime_check,3,17,1123
prime_check,3,18,192
prime_check,3,19,45
prime_check,3,20,303
prime_check,3,21,162
prime_check,3,22,161
prime_check,3,23,173
prime_check,3,24,189
prime_check,3,25,330
prime_check,3,26,1036
prime_check,3,27,11
prime_check,3,28,1718
prime_check,3,29,18
prime_check,3,30,1852
prime_check,3,31,84
prime_check,3,32,21
prime_check,3,33,77
prime_check,3,34,1284
prime_check,3,35,111
prime_check,3,36,51
prime_check,3,37,12
prime_check,3,39,342
prime_check,3,40,27
prime_check,3,41,137
prime_check,3,42,67
prime_check,3,43,210
prime_check,3,44,2
prime_check,3,45,63
prime_check,3,46,2
prime_check,3,47,22
prime_check,3,48,1719
prime_check,3,49,43
prime_check,3,50,324
prime_check,3,51,782
prime_check,3,52,361
prime_check,3,53,341
prime_check,3,54,36
prime_check,3,56,297
prime_check,3,57,194
prime_check,3,58,153
prime_check,3,59,183
prime_check,3,60,224
prime_check,3,61,50
prime_check,3,62,1042
prime_check,3,63,36
prime_check,3,64,141
prime_check,3,65,3
prime_check,3,66,106
prime_check,3,67,59
prime_check,3,68,17
prime_check,3,69,659
prime_check,3,70,34
prime_check,3,71,110
prime_check,3,72,19
prime_check,3,73,34
prime_check,3,74,421
prime_check,3,75,358
prime_check,3,76,342
prime_check,3,77,300
prime_check,3,78,210
prime_check,3,81,1
prime_check,3,82,1
prime_check,3,83,358
prime_check,3,84,336
prime_check,3,85,60
prime_check,3,86,107
prime_check,3,87,9
prime_check,3,88,843
prime_check,3,89,142
prime_check,3,91,91
prime_check,3,92,319
prime_check,3,93,92
prime_check,3,94,82
prime_check,3,96,832
prime_check,3,97,462
prime_check,3,98,55
prime_check,3,99,509
prime_check,3,100,417
prime_check,3,101,80
prime_check,3,102,304
prime_check,3,103,18
prime_check,3,104,1444
prime_check,3,106,1
prime_check,3,107,705
prime_check,3,108,400
prime_check,3,109,201
prime_check,3,110,115
prime_check,3,111,683
prime_check,3,114,358
prime_check,3,115,403
prime_check,3,116,834
prime_check,3,118,573
prime_check,3,119,208
prime_check,3,120,1764
prime_check,3,121,5
prime_check,3,122,50
prime_check,3,123,51
prime_check,3,124,695
prime_check,3,125,797
prime_check,3,126,3
prime_check,3,127,44
prime_check,4,1,3709
prime_check,4,2,62
prime_check,4,3,85
prime_check,4,4,3
prime_check,4,5,33
prime_check,4,6,1
prime_check,4,7,44
prime_check,4,8,2501
prime_check,4,9,18
prime_check,4,12,10
prime_check,4,15,38
prime_check,4,17,50
prime_check,4,18,19
prime_check,4,19,96
prime_check,4,20,3
prime_check,4,22,274
prime_check,4,23,4226
prime_check,4,24,29
prime_check,4,26,72
prime_check,4,27,3819
prime_check,4,28,36
prime_check,4,29,12
prime_check,4,30,246
prime_check,4,32,119
prime_check,4,35,9
prime_check,4,36,23
prime_check,4,37,95
prime_check,4,38,30
prime_check,4,39,21
prime_check,4,40,2
prime_check,4,43,311
prime_check,4,44,1
prime_check,4,45,92
prime_check,4,47,2979
prime_check,4,49,22
prime_check,4,51,39
prime_check,4,52,2
prime_check,4,54,1406
prime_check,4,55,4198
prime_check,4,58,22
prime_check,4,59,129
prime_check,4,61,67
prime_check,4,62,53
prime_check,4,63,345
prime_check,4,64,16
prime_check,4,66,29
prime_check,4,68,155
prime_check,4,69,36
prime_check,4,70,58
prime_check,4,71,36
prime_check,4,72,104
prime_check,4,73,41
prime_check,4,74,4132
prime_check,4,75,202
prime_check,4,76,177
prime_check,4,77,347
prime_check,4,78,67
prime_check,4,79,14
prime_check,4,82,132
prime_check,4,83,10
prime_check,4,84,78
prime_check,4,85,6
prime_check,4,87,74
